"","Location","Genotype","Block","Sample_Type","Sample_Type_Blanks_differentiated","Inbred_or_Hybrid","R1_Fastq_Name","R2_Fastq_Name","Experiment","Group"
"END4Kb","IH","PH207","0","Stalk","Stalk","Inbred","END4Kb_S230_L001_R1_001.fastq.gz","END4Kb_S230_L001_R2_001.fastq.gz","END","Stalk_END"
"MMH-2GH-23R","GH","Mo17xPh207","1","Root","Root","Hybrid","MMH-2GH-23R_S90_L001_R1_001.trimmed.fastq.gz","MMH-2GH-23R_S90_L001_R2_001.trimmed.fastq.gz","GH","Root_GH"
"MMH-2GH-16Z","GH","Ph207xB73","1","Rhizosphere","Rhizosphere","Hybrid","MMH-2GH-16Z_S39_L001_R1_001.trimmed.fastq.gz","MMH-2GH-16Z_S39_L001_R2_001.trimmed.fastq.gz","GH","Rhizosphere_GH"
"MMH-2GH-12K","GH","Mo17xPh207","0","Stalk","Stalk","Hybrid","MMH-2GH-12K_S116_L001_R1_001.trimmed.fastq.gz","MMH-2GH-12K_S116_L001_R2_001.trimmed.fastq.gz","GH","Stalk_GH"
"END2Ka","IH","CML322","0","Stalk","Stalk","Inbred","END2Ka_S217_L001_R1_001.fastq.gz","END2Ka_S217_L001_R2_001.fastq.gz","END","Stalk_END"
"MMH-2GH-26Z","GH","B73xMo17","1","Rhizosphere","Rhizosphere","Hybrid","MMH-2GH-26Z_S49_L001_R1_001.trimmed.fastq.gz","MMH-2GH-26Z_S49_L001_R2_001.trimmed.fastq.gz","GH","Rhizosphere_GH"
"MMH-2GH-24Z","GH","Mo17xB73","1","Rhizosphere","Rhizosphere","Hybrid","MMH-2GH-24Z_S47_L001_R1_001.trimmed.fastq.gz","MMH-2GH-24Z_S47_L001_R2_001.trimmed.fastq.gz","GH","Rhizosphere_GH"
"MMH-48-1Z","IH","Ried_Yellow_Dent","0","Rhizosphere","Rhizosphere","Open_Pollinated","MMH-48-1Z_S67_L001_R1_001.fastq.gz","MMH-48-1Z_S67_L001_R2_001.fastq.gz","MMH","Rhizosphere_MMH"
"MMH-2GH-28R","GH","Hopi_blue","1","Root","Root","Open_Pollinated","MMH-2GH-28R_S95_L001_R1_001.trimmed.fastq.gz","MMH-2GH-28R_S95_L001_R2_001.trimmed.fastq.gz","GH","Root_GH"
"END14Rb","IH","903VIP","3","Root","Root","Hybrid","END14Rb_S221_L001_R1_001.fastq.gz","END14Rb_S221_L001_R2_001.fastq.gz","END","Root_END"
