"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"584b8bbec18fe08ca25cdddc383bb182",2.28897937298363,2.05852304554717,0.251021754060791,8.20057629367312,2.39237349047931e-16,8.25033474754079e-16,"Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium",NA
"d4088a736d4e6d63708ee519c9899f64",1.50223633761322,-0.818058325973288,0.228106971661093,-3.58629251888323,0.000335412700609878,0.000581067072887535,"Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Chitinophaga","eubacterium sp. 22-7"
"ee0f4339a01c5fdc605ffa403ade1926",4.17244029470235,-1.17653662344689,0.277447510552708,-4.24057372547004,2.22949189220937e-05,4.29599221005356e-05,"Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae",NA,NA
"183acc20a7b6fc96fd9746fed729cdd4",3.31824092970375,2.84451948231805,0.280826032375445,10.1291160874827,4.10341923985045e-24,2.08849889586871e-23,"Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Terrimonas",NA
"666f1b2553cae7b01fba2f30744f57cf",3.1201536885969,-1.34174205951466,0.247365724811394,-5.42412276614993,5.82398455619075e-08,1.28685646780502e-07,"Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae",NA,NA
"bc834a7bba678cec3d8c88e5db6e23ea",9.73994794894048,-2.4293107431427,0.315958580342363,-7.68870002045958,1.48637504860679e-14,4.667850152646e-14,"Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Niastella",NA
"bb0fd7993f0a3afdad679cf38eb8e827",2.46212760584599,1.28583336317646,0.25473739145201,5.04768206915828,4.47202524643535e-07,9.3760074769014e-07,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Fluviicola",NA
"49322602d09e08aec5856adf3f889100",9.23276864543567,-3.41519376485474,0.274687187842502,-12.4330289726251,1.72954423274155e-35,1.43416139748681e-34,"Bacteria","Acidobacteria","Subgroup 6","uncultured bacterium 92","uncultured bacterium 92","uncultured bacterium 92","uncultured bacterium 92"
"f903493187958b8ad4980fd82dc9760d",2.7093060025256,2.30731768910568,0.266218421020066,8.66700989459993,4.436164245043e-18,1.65347940042512e-17,"Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus",NA
"33d5a7b07c4faf11cd41777db18b8aa6",2.12829449841672,-0.855406755111425,0.218186544950911,-3.92052935850778,8.83546707476716e-05,0.00016260784790968,"Bacteria","Planctomycetes","Phycisphaerae","Tepidisphaerales","CPla-3 termite group",NA,NA
"a5dce76dd95f22c459eaaf772fd623fd",1.65037233213561,-0.911126293511207,0.221663183757893,-4.11040876551861,3.94959313023235e-05,7.39796885815095e-05,"Bacteria","Planctomycetes","Phycisphaerae","Tepidisphaerales","CPla-3 termite group","metagenome","metagenome"
